Issue title,HM5_ISSUE_DESC
PAINT PEEL OFF OBSERVED FROM FRAME ASSY,"Paint peel off observed from frame assy near wire harness clamp in AAEP_PP1 Fleet testing  vehicle at 3000 km (UID - AAEP_4013).Which is  leading to rusting on frame assy.                                                                                                               Although Existing setup, CQA to provide detailed analysis for logical closure of PTS."
SURFACE TREATMENT MISSIING WHICH NEEDS TO BE SEPCIFIED ON THE DRAWING. PLEASE WRITE PART TO BE COATED WITH INDIAN SERVO RP-125,SURFACE TREATMENT MISSIING WHICH NEEDS TO BE SEPCIFIED ON THE DRAWING. PLEASE WRITE PART TO BE COATED WITH INDIAN SERVO RP-125
DESIGN UPDATION AS PER TOOLING FEASIBILITY,Design Updation as per tooling feasibility
DCRNPD_0139_AAMB_GENERAL_P2(P2)_0008,Design Updation as per tooling feasibility
DCRNPD_0161_AANF_GENERAL_P0(PO)_0006,ADDITION SEALANT TO EB ADDED ON THE DRAWING
DCRNPD_0095_AAJA__PP(PP)_0002,View to be added
DESIGN UPDATION AS PER TOOLING FEASIBILITY,Hitachi Astemo has submitted drawing for PP1 event of AALP. Same has to be approved by HMCL and released in PLM
DCRNPD_0202_AAZA_GENERAL_P2(P2)_0084,Kick lever rubber coming out issue reported in AAJL model from Nigeria.
DCRNPD_0151_AAGE_GENERAL_P2(P2)_0051,Given surface treatment is not feaisibile
DCRNPD_0202_AAZA_GENERAL_P0(PO)_0038,M6 And M8 Bolt Torque Update in Drawing and Spec
DCRNPD_0202_AAZA_GENERAL_P2(P2)_0015,As use of M5 and M6 nut will create chances of mixing
DCRNPD_0143_ABGA_GENERAL_PP(PP)_0024,Design Updation as per tooling feasibility
DCRNPD_0143_ABGA_GENERAL_P0(PO)_0003,"1. Joint RJ drive chain (40531-AAJ-C010) to be replaced with MP common part 40531-KCS-6900 2. Hub Assy Front & Rear - As per new service requirement, Hub assy child part to be made servicable (earlier only hub assy was provided as a servicable part).  44601-AAJN-B000 - Hub comp front wheel 42601-AAJN-B000 - Hub comp rear wheel"
DRAWING TO BE REVISED AS PER SUGGESTIONS,LATEST SUPPLIER DRAWINH GAS BEEEN RELEASED FOR WHICH ECN TO BE GIVEN
DCRNPD_0202_AAZA_GENERAL_P0(PO)_0020,Fuel Tank Manufacturing Feedback
DCRNPD_0144_ABHA_GENERAL_P0(PO)_0001,BAND CHARGER ADDED AS A CHILD PART IN PORTABLE BATTERY CHARGER
DETAIL TO BE ADDED,Design Updation as per tooling feasibility
DCRNPD_0241_AAMH_GENERAL_P0(PO)_0012,Part is not Manufacturable as per current drawing specifications
DCRNPD_0143_ABGA_GENERAL_P0(PO)_0033,Diameter to be changed to Slot (Dia 6mm TO BE CHANGE TO SLOT 7.5mmX6mm) to resolve cover l floor side gap issue
DCRNPD_0143_ABGA_GENERAL_P0(PO)_0050,Flange height is not feasibile to maintain.
DCRNPD_0231_AAJH_GENERAL_P0(PO)_0001,Higher thread length to be provided to avoid thread stripping
PP1 DRAWING RELEASE OF AALP THB ASSY,TOLERANCE UPDATION AS PER SUPPLIER TFC
DCRNPD_0161_AANF_GENERAL_P0(PO)_0010,Design Updation as per tooling feasibility
DCRNPD_0106_AATA_GENERAL_P2(P2)_0041,DCR raised for tooling feasibility
DCRNPD_0151_AAGE_GENERAL_P0(PO)_0028,As confirmed in mail for gauge development Updated 3d and 2d required
KICK LEVER RUBBER COME OUT ISSUE,Waviness value 8um to be updated in drawing
DCRNPD_0161_AANF_GENERAL_DA(D1)_0007,Part is not Manufacturable as per current drawing specifications
CHANGE REQUIRD IN THE SURFACE TREATMENT OF HANDLE,2 nos drain hole for painting process.
DCRNPD_0106_AATA_VA_VE_P2(P2)_0092,Die feasiblity issues
DCRNPD_0231_AAJH_GENERAL_P0(PO)_0003,Replacement of 31600-ABW-0010 with 31600-AAC-B020 and Deletion of 31810-ABH-5010 from BOM.
DCRNPD_0224_AAYE_GENERAL_PP(PP)_0002,NEW LOGO OPTION ADDED FOR BLACK BODY COLOUR
DCRNPD_0202_AAZA_TESTFAILURE_P2(P2)_0082,1) drawing to be updated with tooling hole. (hole present in the part not available in  the drawing). 2) drawing to be updated with chamfer on stator core(chamfer availble in part but not available in drawing) 3) Traceability to be updated with line and shift details.
DCRNPD_0076_KZAA__EB(E2)_0174,TEST SPECIFICATION UPDATED IN VIDA STICKER DRAWING.
DCRNPD_0105_AASA__P0(PO)_0034,Designe issue- Hobbing cut mark is coming due to Coller dia is bigger from root diameters
DCRNPD_0248_AANV_GENERAL_P2(P2)_0006,Stay Welding not accesible design need to review.
DCRNPD_0220_AABM_GENERAL_P0(PO)_0056,"MATERIAL UPDATION, DIMENSIONS UPDATED"
DCRNPD_0220_AABM_GENERAL_P0(PO)_0065,SPEC NO. UPDATED IN DRAWING
DCRNPD_0220_AABM_GENERAL_EA(E1)_0029,Terminal angle tolerance to be changed as per feedback received form plant team during PP1 event. Barcode and profile pictorial view correction-drawing regularization.
DCRNPD_0220_AABM_GENERAL_P0(PO)_0077,MANUFACTURING FEASIBLITY CONCERN
M6 AND M8 BOLT TORQUE UPDATE IN DRAWING AND SPEC,New Part is released as VAVE for cost reduction in AAEL which is  not feasible and need to take up separately through LEap ideas
DCRNPD_0106_AATA_GENERAL_P2(P2)_0094,Supplier final drawing update in system
DCRNPD_0143_ABGA_GENERAL_PP(PP)_0022,Step Pillion with Grommet assy reqd
DCRNPD_0106_AATA_GENERAL_P0(PO)_0017,TO BE CHANGE W.R T PIPE CROSS OVER
DCRNPD_0106_AATA_GENERAL_P0(PO)_0013,PARTS UPDATED IN PHANTOM AS SURFACE TREATMENT CHANGED FROM Zn COATING TO Zn-Ni COATING
DCRNPD_0107_AAWA_GENERAL_DB(D1-S)_0001,Tooling Hole required in rr top eng. mtg bkt. for location in W/F.
DCRNPD_0251_AAFF_GENERAL_P2(P2)_0221,1. ALTERNATE MATERIAL CEW-1 AS PER IS: 3074 TO BE PROVIDED 2. CHAMFER ON  O.D TO BE SPECIFIED (2 PLACE) 3. NOTE NO. 5 TO BE REMOVED AS ALREADY SPECIFIED IN UNSPECIFIED TOLERANCE
DCRNPD_0267_AANY_GENERAL_PP(PP)_0001,Stay Rod surface treatment & material grade
CHANCES OF MIXING THE NUT,Flat Type handle stopper has Mkt failure issues. Gap less for the welding at lower side for Handle Stopper.
DCRNPD_0220_AABM_GENERAL_P2(P2)_0004,SW Ver and HW version need to be mention
DCRNPD_0272_AAGM_GENERAL_PP(PP)_0011,Holes needed to be added on Rear mounting Stay (17510-ACY-1000-27) & Rear patch (17510-ACY-1000-26) for proper flow of chemical and paint while paint stripping process in paint shop
DCRNPD_0272_AAGM_GENERAL_P0(PO)_0003,GROUND ELECTRODE MATERIAL CHANGED FROM COPPER CORE NICKLE ALLOY TO SOLID NICKLE ALLOY. ONLY DRAWING TO BE REGULARIZED. NO CHANGE IN PART
